"japanese","english","context","notes","jp_bytes","en_bytes","overflow"
"相撲部は鍋か……。","Sumo club is doing hot pot...","Portrait: !p0600!e00","","18","29","11"
"私がいつも/醍醐先輩といるからかしら？","Is it because I'm always　/with Daigo-senpai?","Portrait: !p0000!e00","","37","45","8"
"私ね、/今日、!0と/一緒にいて思ったの。","You know, /today, being with　!0, /I thought.","Portrait: !p1100!e00","","38","45","7"
"皆が力を合わせて/何かをなしとげるというのは、/非常に大切な事です。","Everyone working together /to accomplish something　/is very important.","Portrait: !p0900!e00","","66","71","5"
"私が相手をする/見守る/助けを呼ぶ","I'll handle it/ Watch / Call for help","Portrait: !pffff!e00","","32","37","5"
"私は、考えることあるよ。","I have things to think about.","Portrait: !p1100!e00","","24","29","5"
"男子校と聞いていましたので、/乱暴な方が多いのかと思っていましたが、/皆さんとても紳士的でした。","I heard it was a boys' school, so /thought there'd be rough people, but /everyone was gentlemanly.","Portrait: !p2500!e00","","94","98","4"
"相手をよく見て！","Watch your opponent!","Portrait: !p0503!e00","","16","20","4"
"私、いつまでも応援するよ。/ロベルトがあきらめない限り、/いつまでも！","I'll always cheer you on. /As long as Roberto doesn't give up,　/always!","Portrait: !p0000!e00","","68","72","4"
"皆が諦めてしまっては、/現状を改善していく事など不可能です！","If everyone gives up, /improving the situation is impossible！","Portrait: !p0903!e00","","59","62","3"
"私と九郎は、霧嶋家という、/特殊な家系に生まれました。","Kuro and I were born into /the special Kirishima family.","Portrait: !p2503!e00","","53","56","3"
"直接渡すのは……、/照れくさくってよォ！/じゃ、じゃあ、頼んだぜ！","Handing it directly...　/is embarrassing！　/W-well then, please！","Portrait: !p1002!e00","","64","66","2"
"神のご加護を！","God's blessing！","Portrait: !p0900!e00","","14","16","2"
"私でよければ、話し相手になって/差し上げますよ。","If I'm fine, I'll be　/your conversation partner.","Portrait: !p2500!e00","","47","49","2"
"私は、背の低い人とはねぇ……。/大丈夫、大丈夫。/ももちゃんがいるじゃない。","I don't... with short people... /It's fine, it's fine.　/Momo-chan is here.","Portrait: !p0000!e00","","74","75","1"
"私はともかく、/アキラはどうなのよ。","Leaving me aside, /what about Akira?","Portrait: !p0000!e00","","35","36","1"
