"japanese","english","context","notes","jp_bytes","en_bytes","overflow"
"は！？/そ、そうよね。全然よくないわ！/（何の話かわからないけど……）","What!?  /Y-yes. Not good at all!  /(I don't know what we're talking about ...)","Portrait: !p0000!e00","","68","78","10"
"ひなたのツープラトン技/!c03『ガッツ百倍』!c07を覚えた！","Learned Hinata's Two-Platoon  /  !c03'GUTS Hundredfold'!c07!","Portrait: !pffff!e00","","55","60","5"
"はじめから、!0を/誘えばよかったよ。","Should've invited !0  /from the start.","Portrait: !p0601!e00","","35","38","3"
"はぁい、ロイ。/何か探してるの？","Hey, Roy. /Looking for something?","Portrait: !p0000!e00","","31","33","2"
"ひなた……/こんな所に一人でどうしたの？","Hinata…  /What are you doing here alone?","Portrait: !p0000!e00","","39","41","2"
"はい、先生！！","Yes, sensei ! !","Portrait: !p0000!e00","","14","15","1"
"はずれ……。/プロレス大会、飛び入りで参加しようと/したんだけど、なんか断られてさ。","Miss…  /I tried to join the wrestling tournament /on the fly, but was turned down.","Portrait: !p0400!e00","","82","83","1"
"はは、冗談ですってば！/またあとで、先生！！","Haha, I'm joking! /See you later, sensei ! !","Portrait: !p0000!e00","","43","44","1"
"ははは、そんないいものじゃないです。/まだ修行の身だったころ、父親に/山籠もりさせられましてね……。","Hahaha, it's not that good. /When I was still training, my father made me do mountain seclusion ...","Portrait: !p1301!e00","","98","99","1"
"ふ〜ん、相変わらずね、二人とも。","Hmm, same as always, both of you.","Portrait: !p0000!e00","","32","33","1"
