"japanese","english","context","notes","jp_bytes","en_bytes","overflow"
"チッ、こんなときに！/どうする……","Tch, at a time like this！/What to do …","Portrait: !p0000!e00","","33","40","7"
"ゴメンゴメン！/で、何考えてたの？","Sorry sorry!/So what were you thinking?","Portrait: !p0000!e00","","33","39","6"
"ザキが歩いてくると、すぐわかるぞ。","Can tell right away when Zaki walks by.","Portrait: !p0000!e00","","34","39","5"
"ザキが歩いてくると、すぐわかるよ。","Can tell right away when Zaki walks by.","Portrait: !p0000!e00","","34","39","5"
"ゴメンゴメン！/で、何考えてたんだ？","Sorry sorry!/So what were you thinking?","Portrait: !p0000!e00","","35","39","4"
"ザキ、どこ行くの？","Zaki, where you going?","Portrait: !p0000!e00","","18","22","4"
"サッカーも商売も/戦略が大事だからな。","Soccer and business /both need strategy.","Portrait: !p0600!e00","","37","40","3"
"スクープ写真/男の写真/俺の写真","Scoop photo /Male photo /My photo","Portrait: !pffff!e00","","30","33","3"
"スクープ写真/男の写真/私の写真","Scoop photo /Male photo /My photo","Portrait: !pffff!e00","","30","33","3"
"ティファニー、/護身術は上達した？","Tiffany,/improved your self-defense?","Portrait: !p0000!e00","","33","36","3"
"ザキ、どうかしたの？","Zaki, something wrong?","Portrait: !p0000!e00","","20","22","2"
"ザキ、どこ行くんだ？","Zaki, where you going?","Portrait: !p0000!e00","","20","22","2"
"ザキ！　暇そうだね。","Zaki！ You look bored.","Portrait: !p0000!e00","","20","22","2"
"チビでも優れたセッターや/リベロはたくさんいるからな！/気を落とすな、将馬！！","Lots of great setters and liberos /are short！/Don't be discouraged, Shoma！！","Portrait: !p2801!e00","","76","78","2"
