"japanese","english","context","notes","jp_bytes","en_bytes","overflow"
"気にするな/勇気が必要/がんばれ","Don't worry /Need courage /Do your best","Portrait: !pffff!e00","","30","39","9"
"気にしない/勇気が必要/がんばって","Don't worry /Need courage /Do your best","Portrait: !pffff!e00","","32","39","7"
"気にしない方がいい/男が高い方がいい/女が高い方がいい","Better not worry  /Man taller is good /Woman taller is good","Portrait: !pffff!e00","","52","59","7"
"気合いだ！","Fighting spirit !","Portrait: !p0103!e00","","10","17","7"
"流先輩、/何持ってるんです？","Nagare-senpai,  /what do you have?","Portrait: !p0000!e00","","27","34","7"
"点はやらないぜ！","I won't give up points!","Portrait: !p0601!e00","","16","23","7"
"無用だ！/そこで見ていろ！","Unnecessary ! /Watch from there!","Portrait: !p1900!e00","","25","32","7"
"照れるな、照れるな！","Don't be shy, don't be shy!","Portrait: !p0000!e00","","20","27","7"
"犯人は……俺だ！/どっかの猫か何かだ/犯人は……お前だ！！","Culprit is… me ! /Some cat or something  /Culprit is… you! !","Portrait: !pffff!e00","","56","62","6"
"気のせいね。/それじゃまた今度ね！","Just imagination. /See you next time !","Portrait: !p1401!e00","","33","38","5"
"男の子と行く約束をしてるんだ！","I have a promise to go with a boy !","Portrait: !p0000!e00","","30","35","5"
"流先輩……。","Nagare-senpai...","Portrait: !p0000!e00","","12","16","4"
"犯人は……私よ！/どっかの猫か何かよ/犯人は……あなたよ！！","Culprit is… me ! /Some cat or something  /Culprit is… you! !","Portrait: !pffff!e00","","58","62","4"
"毎日大変だね、将馬。","Tough every day, Shoma.","Portrait: !p0000!e00","","20","23","3"
"流さん、/何持ってるんです？","Nagare-san, /what do you have?","Portrait: !p0000!e00","","27","30","3"
"流先輩！/こんにちは！","Nagare-senpai ! /Hello !","Portrait: !p0000!e00","","21","24","3"
"流先輩！/あ、修一先輩も一緒なんですね。/こんにちは！","Nagare-senpai ! /Oh, Shuuichi-senpai is here. /Hello !","Portrait: !p0000!e00","","52","54","2"
"毎朝、１０キロは走り込まないと/覚えんのは無理だな！","If I don't run 10km every morning /I can't learn it!","Portrait: !p1000!e00","","51","52","1"
"水泳部の出し物ね……。/水泳部だけに、泳いで金魚を/つかまえる金魚すくいなのかしら？","Swimming club's event...  /Being the swimming club, /goldfish scooping in the pool?","Portrait: !p0501!e00","","82","83","1"
"決勝戦の前に、３位決定戦を行うわ！/!0と!1の対戦よ！","Before the finals, the 3rd place match! /  !0 vs !1!","Portrait: !p1800!e00","","51","52","1"
"流先輩……。/私を待ってたんですか？","Nagare-senpai...  /Were you waiting?","Portrait: !p0000!e00","","35","36","1"
"流先輩！/お買い物ですか？","Nagare-senpai ! /Shopping?","Portrait: !p0000!e00","","25","26","1"
"流先輩！/流先輩のツープラトン技を/私にも教えてもらえますか？","Nagare-senpai ! /Can you teach me your Two-Platoon technique?","Portrait: !p0000!e00","","60","61","1"
