"japanese","english","context","notes","jp_bytes","en_bytes","overflow"
"借りたものを元に戻す事すらも/出来ない人がいるという事実に、/正直、失望を隠せません……。","The fact that some can't even return borrowed items,  /honestly, I can't hide my disappointment ...","Portrait: !p0903!e00","","88","99","11"
"例えば、/岩が力士になったとするだろ？","For example,  /if Iwa became a sumo wrestler?","Portrait: !p0000!e00","","37","45","8"
"俺が相手をする/見守る/助けを呼ぶ","I'll handle it  /Watch  /Call for help","Portrait: !pffff!e00","","32","38","6"
"俺もいく/大変だね/いくな","I'll go too /Tough  /Don't go","Portrait: !pffff!e00","","24","29","5"
"優勝おめでとう！！","Congrats on winning ! !","Portrait: !p1801!e00","","18","23","5"
"俺、醍醐先輩のこと……","I... about Daigo-senpai...","Portrait: !p0000!e00","","22","26","4"
"俺の好きなロベルトは、/人一倍努力家で、/そして必ず成し遂げる人なんだからな！","The Roberto I like  /is hardworking beyond others,  /and always achieves goals !","Portrait: !p0000!e00","","76","80","4"
"作ってるのをじぃ〜っと見てたら、/みんな必ずくれるんですよぉ！","If I stare while they make it,  /everyone always gives me some !","Portrait: !p2401!e00","","61","64","3"
"使用するコントローラを決めるわよ。","I'll decide which controller to use.","Portrait: !p0100!e00","","34","36","2"
"俺、いつまでも応援するよ。/ロベルトがあきらめない限り、/いつまでも！","I'll support forever. /As long as Roberto doesn't give up,  /forever !","Portrait: !p0000!e00","","68","70","2"
"俺、絶対先生を後悔させてみせますから！/あの時、フラなければって、/絶対後悔させてみせますから！！","I'll definitely make sensei regret it ! /Not flunking then, /I'll definitely make you regret it! !","Portrait: !p0000!e00","","96","98","2"
"俺も、もう２年生だ……。/キーパーとしてのブランクもある。/正直、手が届くかどうかはわからない。","I'm a second-year now...  /I have a gap as goalkeeper.  /Honestly, don't know if I can reach it.","Portrait: !p0600!e00","","94","96","2"
"優秀なジャーナリストのワタシを狙う/追っ手が迫っているの！/じゃあ、頼んだわよ！","Pursuers targeting excellent journalist me are closing in ! /Well then, please !","Portrait: !p2101!e00","","78","80","2"
"何？","What?","Portrait: !p0000!e00","","4","5","1"
