"japanese","english","context","notes","jp_bytes","en_bytes","overflow"
"よぉ！　夏じゃないか。/沖田先生と、なに話してたんだ？","Hey! Isn't that Natsu./What were you talking about with Okita?","Portrait: !p0000!e00","","53","62","9"
"よぉ、もも！/屋上で何してるんだ？","Hey, Momo!/What're you doing on the roof?","Portrait: !p0000!e00","","33","41","8"
"よせよ、礼なんて。","Stop, no need to thank me.","Portrait: !p0000!e00","","18","26","8"
"よぉ、ザキ！/何見てるんだ？","Hey, Zaki!/What're you looking at?","Portrait: !p0000!e00","","27","34","7"
"よぉ、もも！/部室で出し物の準備かい？","Hey, Momo!/Prepping the event in club room?","Portrait: !p0000!e00","","37","43","6"
"よぉ、ラン。/プールで何してるんだ？","Hey, Ran. /What're you doing at the pool?","Portrait: !p0000!e00","","35","41","6"
"よぉ、将馬！/見ただろ？/俺様の雄姿！","Hey, Shoma！/You saw it?/My heroic pose！","Portrait: !p0000!e00","","36","41","5"
"よしてよ、お礼なんて。","Stop, no need to thank me.","Portrait: !p0000!e00","","22","26","4"
"よしよし！/予想以上にうまくいったな！","There there!/Went better than expected！","Portrait: !p0000!e00","","37","40","3"
"よぉ、ロイ。/何か探してるのか？","Hey, Roy. /Looking for something?","Portrait: !p0000!e00","","31","33","2"
"よぉ、九郎じゃないか。/何やってるんだ？","Hey, isn't that Kuro. /What're you doing?","Portrait: !p0000!e00","","39","41","2"
"よぉ……ちゃんと届けといたよ。","Hey … I delivered it properly.","Portrait: !p0000!e00","","30","31","1"
"よぉ、!0！/どうだ？/学園祭は楽しんでるかァ！？","Hey,　!0！/How is it? /Enjoying the festival！?","Portrait: !p2000!e00","","46","47","1"
"よぉ、!0！/待ちに待った学園祭だぜ！/全力で楽しんでるか！？","Hey,　!0！/The long-awaited festival！/Enjoying it fully！?","Portrait: !p0100!e00","","58","59","1"
"よぉ、ロイ。/暇そうだな。","Hey, Roy. /You look bored.","Portrait: !p0000!e00","","25","26","1"
"よぉっ、!0！/待ってたぜ！","Hey,　!0！/I was waiting！","Portrait: !p0600!e00","","25","26","1"
